url,service_type
http://enterprise.internal/api/service/0,SLOW
http://enterprise.internal/api/service/1,FAST
http://enterprise.internal/api/service/2,FAST
http://enterprise.internal/api/service/3,FAST
http://enterprise.internal/api/service/4,FAST
http://enterprise.internal/api/service/5,DOWN
http://enterprise.internal/api/service/6,SLOW
http://enterprise.internal/api/service/7,FAST
http://enterprise.internal/api/service/8,FAST
http://enterprise.internal/api/service/9,FAST
http://enterprise.internal/api/service/10,FAST
http://enterprise.internal/api/service/11,SLOW
http://enterprise.internal/api/service/12,SLOW
http://enterprise.internal/api/service/13,FLAKY
http://enterprise.internal/api/service/14,SLOW
http://enterprise.internal/api/service/15,FAST
http://enterprise.internal/api/service/16,FAST
http://enterprise.internal/api/service/17,SLOW
http://enterprise.internal/api/service/18,FAST
http://enterprise.internal/api/service/19,FAST
http://enterprise.internal/api/service/20,SLOW
http://enterprise.internal/api/service/21,FAST
http://enterprise.internal/api/service/22,FAST
http://enterprise.internal/api/service/23,FAST
http://enterprise.internal/api/service/24,FAST
http://enterprise.internal/api/service/25,SLOW
http://enterprise.internal/api/service/26,FAST
http://enterprise.internal/api/service/27,FAST
http://enterprise.internal/api/service/28,SLOW
http://enterprise.internal/api/service/29,FLAKY
http://enterprise.internal/api/service/30,FAST
http://enterprise.internal/api/service/31,FAST
http://enterprise.internal/api/service/32,FLAKY
http://enterprise.internal/api/service/33,FLAKY
http://enterprise.internal/api/service/34,FLAKY
http://enterprise.internal/api/service/35,FAST
http://enterprise.internal/api/service/36,FLAKY
http://enterprise.internal/api/service/37,SLOW
http://enterprise.internal/api/service/38,SLOW
http://enterprise.internal/api/service/39,FAST
http://enterprise.internal/api/service/40,SLOW
http://enterprise.internal/api/service/41,DOWN
http://enterprise.internal/api/service/42,FLAKY
http://enterprise.internal/api/service/43,SLOW
http://enterprise.internal/api/service/44,FAST
http://enterprise.internal/api/service/45,FAST
http://enterprise.internal/api/service/46,FAST
http://enterprise.internal/api/service/47,FAST
http://enterprise.internal/api/service/48,FAST
http://enterprise.internal/api/service/49,FLAKY
http://enterprise.internal/api/service/50,FAST
http://enterprise.internal/api/service/51,SLOW
http://enterprise.internal/api/service/52,FAST
http://enterprise.internal/api/service/53,FAST
http://enterprise.internal/api/service/54,FLAKY
http://enterprise.internal/api/service/55,FAST
http://enterprise.internal/api/service/56,FAST
http://enterprise.internal/api/service/57,FLAKY
http://enterprise.internal/api/service/58,DOWN
http://enterprise.internal/api/service/59,FLAKY
http://enterprise.internal/api/service/60,FLAKY
http://enterprise.internal/api/service/61,FAST
http://enterprise.internal/api/service/62,FAST
http://enterprise.internal/api/service/63,FAST
http://enterprise.internal/api/service/64,FAST
http://enterprise.internal/api/service/65,SLOW
http://enterprise.internal/api/service/66,DOWN
