2026-01-15 14:26:33,584 | INFO | MainThread | Starting URL Monitoring System
2026-01-15 14:26:49,953 | ERROR | MainThread | 🚨 ALERT: http://example.com/api/8 DOWN for 16 seconds
2026-01-15 14:26:49,956 | ERROR | MainThread | 🚨 ALERT: http://example.com/api/7 DOWN for 16 seconds
2026-01-15 14:26:49,957 | ERROR | MainThread | 🚨 ALERT: http://example.com/api/2 DOWN for 16 seconds
2026-01-15 14:26:49,959 | ERROR | MainThread | 🚨 ALERT: http://example.com/api/0 DOWN for 16 seconds
2026-01-15 14:26:49,960 | ERROR | MainThread | 🚨 ALERT: http://example.com/api/5 DOWN for 16 seconds
2026-01-15 14:26:49,962 | ERROR | MainThread | 🚨 ALERT: http://example.com/api/3 DOWN for 16 seconds
2026-01-15 14:26:49,962 | ERROR | MainThread | 🚨 ALERT: http://example.com/api/15 DOWN for 16 seconds
2026-01-15 14:26:49,963 | ERROR | MainThread | 🚨 ALERT: http://example.com/api/4 DOWN for 16 seconds
2026-01-15 14:26:49,964 | ERROR | MainThread | 🚨 ALERT: http://example.com/api/11 DOWN for 16 seconds
2026-01-15 14:26:49,965 | ERROR | MainThread | 🚨 ALERT: http://example.com/api/6 DOWN for 16 seconds
2026-01-15 14:26:49,966 | ERROR | MainThread | 🚨 ALERT: http://example.com/api/9 DOWN for 16 seconds
2026-01-15 14:26:49,966 | ERROR | MainThread | 🚨 ALERT: http://example.com/api/1 DOWN for 16 seconds
2026-01-15 14:26:49,968 | ERROR | MainThread | 🚨 ALERT: http://example.com/api/19 DOWN for 16 seconds
2026-01-15 14:26:49,969 | ERROR | MainThread | 🚨 ALERT: http://example.com/api/18 DOWN for 16 seconds
2026-01-15 14:26:49,969 | ERROR | MainThread | 🚨 ALERT: http://example.com/api/17 DOWN for 16 seconds
2026-01-15 14:26:49,970 | ERROR | MainThread | 🚨 ALERT: http://example.com/api/14 DOWN for 16 seconds
